Document_Title1,Document_Title2,Similarity
Hilary Benn tells Corbyn: I'm doing my job in supporting Syria airstrikes ,"Tom Watson backs airstrikes against Isis, joining opposition to Corbyn ",0.8271334767341614
Pfizer ends attempt to buy AstraZeneca ,Pfizer raises stakes with final AstraZeneca takeover approach ,0.7768592834472656
Pfizer failed in its takeover bid for AstraZeneca because of overconfidence ,Pfizer raises stakes with final AstraZeneca takeover approach ,0.7405114769935608
Pfizer failed in its takeover bid for AstraZeneca because of overconfidence ,Pfizer ends attempt to buy AstraZeneca ,0.7324972152709961
Leveson inquiry: Rupert Murdoch attracted by Scottish independence ,Alex Salmond admits he planned to lobby Jeremy Hunt over BSkyB ,0.7473025321960449
Russian oil giant Rosneft buys 5% of BP in Arctic drilling deal ,BP fears sanctions over stake in Russian oil firm will hit profits ,0.7414367198944092
Labour MP faces expulsion ,MP's 'brave IRA' comments spark outrage ,0.7779847383499146
Ed Miliband hits back at ‘tax-avoiding’ Boots boss ,"Tories are on hunt for anti-Labour mouthpieces, says Balls ",0.9040185213088989
Grangemouth oil refinery 'faces permanent closure' ,Grangemouth oil refinery owner tells workers they face D-day ,0.812383234500885
Denis MacShane pleads guilty to expenses fraud ,Denis MacShane due to be sentenced over false expense claims ,0.7879339456558228
European football leaders call on Sepp Blatter to stand down as Fifa head ,FA chairman Greg Dyke calls on Fifa’s Sepp Blatter to step down ,0.7657214999198914
Raspberry Pi: one million units made in Britain landmark passed ,Raspberry Pi: 2m units sold globally of pocket computer ,0.8920724391937256
Ukip suspends MEP over allegations of 'serious financial nature' ,Farage 'deeply shocked' over expenses fraud claim involving Ukip MEP ,0.8018179535865784
BT's push into football and fibre broadband drives up revenues ,BT's TV customer growth slows but broadband market share grows ,0.7368279695510864
Labour leadership in turmoil over vote on UK military action in Syria ,Hilary Benn tells Corbyn: I'm doing my job in supporting Syria airstrikes ,0.7373982667922974
TNK-BP boss predicted break-up of joint venture ,BP fears sanctions over stake in Russian oil firm will hit profits ,0.787867546081543
TNK-BP boss predicted break-up of joint venture ,Russian oil giant Rosneft buys 5% of BP in Arctic drilling deal ,0.7684659361839294
Jack Straw and Margaret Beckett wade into Commons clerk appointment row ,Carol Mills breaks silence on row over House of Commons post ,0.7303126454353333
Patrick Mercer resignation sparks Tory sleaze allegations ,Tory MP Patrick Mercer resigns from party after lobbying sting ,0.7993770837783813
UBS Libor case uncovers tangled web of bank-broker relations ,Two former UBS employees charged in US over Libor ,0.7073156833648682
YouTube Music Key takes on Spotify as streaming music battle heats up ,Will YouTube really block indie labels if they snub its new music service? ,0.7085803151130676
Free school meals for infants pledged by Nick Clegg ,Free school meals for infants 'was price for Lib Dem support of Tory tax plan' ,0.7180694937705994
French president meets rival German and US bidders for Alstom ,GE reportedly in talks over Alstom takeover in deal worth up to £7.7bn ,0.7120468020439148
Rosneft takes over TNK-BP in $55bn deal ,BP fears sanctions over stake in Russian oil firm will hit profits ,0.8198538422584534
Rosneft takes over TNK-BP in $55bn deal ,Russian oil giant Rosneft buys 5% of BP in Arctic drilling deal ,0.7346000075340271
Rosneft takes over TNK-BP in $55bn deal ,TNK-BP boss predicted break-up of joint venture ,0.8170536756515503
Risks and rewards for BP in Russia ,BP fears sanctions over stake in Russian oil firm will hit profits ,0.7701601982116699
Risks and rewards for BP in Russia ,Russian oil giant Rosneft buys 5% of BP in Arctic drilling deal ,0.7760865092277527
Risks and rewards for BP in Russia ,TNK-BP boss predicted break-up of joint venture ,0.8947754502296448
Risks and rewards for BP in Russia ,Rosneft takes over TNK-BP in $55bn deal ,0.7875024080276489
Nigel Farage announces he will not stand in Newark byelection ,Ukip soars to top of polls despite Farage ducking byelection battle ,0.806782066822052
Barclays shares tumble after allegations about private 'dark pool' trading system ,Barclays investigated in US over 'dark pool' activities ,0.7118575572967529
YouTube subscription music licensing strikes wrong notes with indie labels ,Will YouTube really block indie labels if they snub its new music service? ,0.7546645998954773
Angela Ahrendts leaves Burberry for new job at Apple ,Burberry's next boss tries to reassure City about leadership and vision ,0.7191089391708374
"Motorola Moto X review: less 'hello Moto', more hello Google ",Motorola launches £89 Moto E – its bargain basement smartphone ,0.7080304622650146
Syria airstrikes: Corbyn heads for showdown with shadow cabinet ,Jeremy Corbyn holds crunch Labour talks over vote on Syria airstrikes ,0.8919612169265747
Grangemouth owner Ineos set to announce decision on future of site ,Grangemouth oil refinery owner tells workers they face D-day ,0.7247714996337891
Grangemouth owner Ineos set to announce decision on future of site ,Grangemouth oil refinery 'faces permanent closure' ,0.7044637799263
Oculus Rift – 10 reasons why all eyes are back on virtual reality ,Facebook closes its $2bn Oculus Rift acquisition. What next? ,0.7968174815177917
"Britain ready to take 'next big step' in Chinese relations, says Osborne ",George Osborne opens doors to rich Chinese with new visa system ,0.7546296715736389
Cameron biography: Ashcroft makes new debauchery claims about student days ,David Cameron biography: No 10 refuses to comment on debauchery claims ,0.9126560091972351
'Boris Island' airport plan grounded over Johnson's briefing to Telegraph ,'Boris Island' estuary airport idea gets off the ground ,0.7704725861549377
Denis MacShane expenses investigation reopened ,Denis MacShane resigns as MP over expenses ,0.7006711959838867
BP's Bob Dudley to return to Moscow ,BP fears sanctions over stake in Russian oil firm will hit profits ,0.7675769329071045
BP's Bob Dudley to return to Moscow ,TNK-BP boss predicted break-up of joint venture ,0.7432123422622681
BP's Bob Dudley to return to Moscow ,Rosneft takes over TNK-BP in $55bn deal ,0.7744265794754028
BP's Bob Dudley to return to Moscow ,Risks and rewards for BP in Russia ,0.7179641723632812
"Clegg and Farage are both 'quite extreme' over Europe, says Cameron ",Farage v Clegg: Ukip leader triumphs in second televised debate ,0.9300435781478882
McDonald's workers plan 'biggest-ever protest' as company announces changes ,"McDonald's boss ""proud"" of wages as thousands of workers call for a rise ",0.7214817404747009
American Hustle and 12 Years a Slave: top Oscars rivals after Golden Globes ,American Hustle plays 12 Years a Slave at Golden Globes ,0.7309213280677795
Public finances show worst August deficit on record ,Public finances slide deeper into the red ,0.9359029531478882
Motorola Moto G review – the best budget smartphone is just £135 ,Motorola launches £89 Moto E – its bargain basement smartphone ,0.8176537752151489
Motorola Moto G review – the best budget smartphone is just £135 ,Motorola’s next generation Moto G stretches to a 5in screen ,0.719315767288208
Motorola Moto G review – the best budget smartphone is just £135 ,"Motorola Moto X review: less 'hello Moto', more hello Google ",0.8255119919776917
Why is WhatsApp worth up to $19bn to Facebook? ,WhatsApp: Facebook acquires messaging service in $19bn deal ,0.7251620888710022
'Big four' accountants 'use knowledge of Treasury to help rich avoid tax' ,Margaret Hodge urges accountancy code of practice over role in tax laws ,0.9637855291366577
Revealed: Labour party power grab puts old guard back at heart of election strategy ,Secret memo shows key role for Blairites in Labour's election team ,0.731563150882721
Kenneth Clarke lambasts Conservatives’ human rights plan ,Tories plan to withdraw UK from European convention on human rights ,0.7643768191337585
Clegg fails to back Cable's call for more borrowing to fund capital investment ,Vince Cable contradicts Osborne in call for more borrowing to ease bottlenecks ,0.8026679754257202
Lord Sewel: timeline of events following Sun on Sunday revelations ,Lord Sewel quits House of Lords over sex and drugs claims ,0.7926744222640991
John McFarlane named Barclays chairman ,John McFarlane brings his chainsaw to Barclays ,0.7665106058120728
Albania and Serbia face Uefa sanctions after abandoned ‘drone’ game ,Uefa awards Serbia Euro 2016 win over Albania but deducts three points ,0.7166014909744263
World Cup 2014: RTE pundit Eamon Dunphy apologises for on-air swearing ,World Cup 2014: RTE pundit Eamon Dunphy apologises for on-air swearing ,1.0000001192092896
Conservatives under scrutiny over election aide Mark Clarke ,Conservative party 'must come clean' over Mark Clarke bullying allegations ,0.7320982217788696
CSC sued by investors over losses on disastrous NHS contract ,NHS computer upgrade in crisis as supplier CSC misses critical deadline ,0.7109230160713196
Twitch: Why Amazon's $1bn purchase is all about the ads ,Twitch: Amazon to buy live-streaming gaming network for $1bn ,0.7579006552696228
AstraZeneca tells shareholders to stop pressuring it to reconsider Pfizer ,Pfizer raises stakes with final AstraZeneca takeover approach ,0.7955056428909302
AstraZeneca tells shareholders to stop pressuring it to reconsider Pfizer ,Pfizer ends attempt to buy AstraZeneca ,0.749717116355896
AstraZeneca tells shareholders to stop pressuring it to reconsider Pfizer ,Pfizer failed in its takeover bid for AstraZeneca because of overconfidence ,0.7621349692344666
Scotland Yard investigates allegations of drug use by Lord Sewel ,Lord Sewel quits House of Lords over sex and drugs claims ,0.8236348628997803
Scotland Yard investigates allegations of drug use by Lord Sewel ,Lord Sewel: timeline of events following Sun on Sunday revelations ,0.7740662097930908
Miliband barred Lamont from attacking bedroom tax for 12 months ,Civil war rages in Labour party after Scottish leader walks out ,0.8849292993545532
Two former Anglo Irish Bank executives found guilty of handing out illegal loans ,Anglo Irish Bank trial: Seán FitzPatrick not guilty of illegal share support ,0.7968816161155701
